Customer.ID,Gender,Age,Married,Number.of.Dependents,City,Zip.Code,Latitude,Longitude,Number.of.Referrals,Tenure.in.Months,Offer,Phone.Service,Avg.Monthly.Long.Distance.Charges,Multiple.Lines,Internet.Service,Internet.Type,Avg.Monthly.GB.Download,Online.Security,Online.Backup,Device.Protection.Plan,Premium.Tech.Support,Streaming.TV,Streaming.Movies,Streaming.Music,Unlimited.Data,Contract,Paperless.Billing,Payment.Method,Monthly.Charge,Total.Charges,Total.Refunds,Total.Extra.Data.Charges,Total.Long.Distance.Charges,Total.Revenue,Customer.Status,Churn.Category,Churn.Reason
0002-ORFBO,0,37,1,0,Frazier Park,93225,34.827662,-118.999073,2,9,0,1,42.39,1,1,0,16,1,2,1,2,2,1,1,2,1,1,1,65.6,593.3,0,0,381.51,974.81,2,3,14
0003-MKNFE,1,46,0,0,Glendale,91206,34.162515,-118.203869,0,9,0,1,10.69,2,1,0,10,1,1,1,1,1,2,2,1,0,0,1,-4,542.4,38.33,10,96.21,610.28,2,3,14
0004-TLHLJ,1,50,0,0,Costa Mesa,92627,33.645672,-117.922613,0,4,5,1,33.65,1,1,2,30,1,1,2,1,1,1,1,2,0,1,0,73.9,280.85,0,0,134.6,415.45,0,1,2
0011-IGKFF,1,78,1,0,Martinez,94553,38.014457,-122.115432,1,13,4,1,27.82,1,1,2,4,1,2,2,1,2,2,1,2,0,1,0,98,1237.85,0,0,361.66,1599.51,0,2,19
0013-EXCHZ,0,75,1,0,Camarillo,93010,34.227846,-119.079903,3,3,0,1,7.38,1,1,2,11,1,1,1,2,2,1,1,2,0,1,1,83.9,267.4,0,0,22.14,289.54,0,2,15
0013-MHZWF,0,23,0,3,Midpines,95345,37.581496,-119.972762,0,9,5,1,16.77,1,1,0,73,1,1,1,2,2,2,2,2,0,1,1,69.4,571.45,0,0,150.93,722.38,2,3,14
0013-SMEOE,0,67,1,0,Lompoc,93437,34.757477,-120.550507,1,71,1,1,9.96,1,1,2,14,2,2,2,2,2,2,2,2,2,1,0,109.7,7904.25,0,0,707.16,8611.41,2,3,14
0014-BMAQU,1,52,1,0,Napa,94558,38.489789,-122.27011,8,63,2,1,12.96,2,1,2,7,2,1,1,2,1,1,1,1,2,1,1,84.65,5377.8,0,20,816.48,6214.28,2,3,14
0015-UOCOJ,0,68,0,0,Simi Valley,93063,34.296813,-118.685703,0,7,5,1,10.53,1,1,1,21,2,1,1,1,1,1,1,2,2,1,0,48.2,340.35,0,0,73.71,414.06,2,3,14
0016-QLJIS,0,43,1,1,Sheridan,95681,38.984756,-121.345074,3,65,0,1,28.46,2,1,0,14,2,2,2,2,2,2,2,2,2,1,1,90.45,5957.9,0,0,1849.9,7807.8,2,3,14
0017-DINOC,1,47,0,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,0,0,0,0,1,0,10,2,1,1,2,2,1,1,2,2,0,1,45.2,2460.55,0,0,0,2460.55,2,3,14
0017-IUDMW,0,25,1,2,Sunnyvale,94086,37.378541,-122.020456,2,72,0,1,16.01,2,1,2,59,2,2,2,2,2,2,2,2,2,1,1,116.8,8456.75,0,0,1152.72,9609.47,2,3,14
0018-NYROU,0,58,1,0,Antelope,95843,38.715498,-121.363411,0,5,0,1,18.65,1,1,2,10,1,1,1,1,1,1,1,2,0,1,0,68.95,351.5,0,0,93.25,444.75,2,3,14
0019-EFAEP,0,32,0,0,La Mesa,91942,32.782501,-117.01611,0,72,1,1,2.25,2,1,2,16,2,2,2,1,2,1,1,2,2,1,0,101.3,7261.25,0,0,162,7423.25,2,3,14
0019-GFNTW,0,39,0,0,Los Olivos,93441,34.70434,-120.02609,0,56,0,0,0,0,1,1,19,2,2,2,2,1,1,1,2,2,0,0,45.05,2560.1,0,0,0,2560.1,2,3,14
